                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.67812,                0.49001,                 1.1872,                0.85197,                0.77778,                0.84909,                 0.5605,                 1.3149,                0.80492,                   1.96,               0.006634,               0.006634,               0.006634
                     36,                0.72081,                0.50561,                 1.2027,                0.87355,                0.76769,                0.81821,                0.52157,                 1.3716,                0.86616,                 1.9868,               0.006535,               0.006535,               0.006535
                     37,                0.68836,                0.50117,                 1.1524,                 0.8498,                0.77778,                0.85889,                0.54834,                 1.3434,                 0.7499,                 1.9939,               0.006436,               0.006436,               0.006436
                     38,                0.68266,                0.49456,                 1.1551,                0.93002,                0.73836,                0.84983,                0.55733,                 1.4076,                0.78241,                 2.0526,               0.006337,               0.006337,               0.006337
                     39,                0.68597,                0.48976,                 1.1467,                0.86908,                0.74074,                0.83838,                0.57679,                 1.3264,                0.77259,                 1.9465,               0.006238,               0.006238,               0.006238
                     40,                0.62644,                 0.4625,                 1.1398,                0.86603,                0.74074,                0.84956,                0.54846,                 1.3885,                0.86449,                 2.0174,               0.006139,               0.006139,               0.006139
                     41,                 0.6688,                0.47893,                 1.1718,                0.84375,                0.70006,                0.82921,                0.54032,                 1.2956,                0.89357,                 1.9443,                0.00604,                0.00604,                0.00604
                     42,                 0.6376,                0.47136,                 1.1341,                0.88258,                0.68519,                0.74738,                0.50468,                 1.4167,                0.93269,                 2.0713,               0.005941,               0.005941,               0.005941
                     43,                0.64005,                0.44818,                 1.1476,                0.91017,                 0.7037,                0.81325,                0.53024,                 1.3914,                0.79735,                 2.0738,               0.005842,               0.005842,               0.005842
                     44,                 0.6311,                0.43482,                  1.137,                0.93324,                0.77665,                0.90421,                0.57357,                 1.3334,                0.73252,                 1.9994,               0.005743,               0.005743,               0.005743
                     45,                 0.6496,                0.46231,                 1.1408,                0.82995,                0.75926,                 0.8395,                0.52526,                 1.3433,                0.89591,                 2.1006,               0.005644,               0.005644,               0.005644
                     46,                0.63638,                0.45807,                  1.141,                0.94197,                0.90192,                0.93798,                0.59935,                 1.2502,                0.60242,                 1.9178,               0.005545,               0.005545,               0.005545
                     47,                0.62602,                0.43142,                 1.1213,                0.88679,                0.87032,                  0.918,                0.58455,                 1.3316,                0.76779,                 1.9552,               0.005446,               0.005446,               0.005446
                     48,                0.62888,                0.43769,                  1.123,                0.91056,                0.83333,                0.87108,                0.59591,                 1.2442,                0.71526,                 1.8878,               0.005347,               0.005347,               0.005347
                     49,                0.58548,                   0.43,                 1.1054,                0.79598,                0.83333,                0.87004,                0.57784,                 1.2935,                 0.7446,                  1.921,               0.005248,               0.005248,               0.005248
                     50,                0.61275,                0.43572,                 1.1195,                0.92799,                0.64815,                0.79366,                0.55492,                 1.2559,                0.77505,                 1.8998,               0.005149,               0.005149,               0.005149
                     51,                0.58954,                 0.4218,                  1.115,                0.83725,                0.72222,                 0.8372,                0.54017,                  1.285,                0.75751,                 1.9064,                0.00505,                0.00505,                0.00505
                     52,                0.58684,                0.41822,                  1.124,                0.92676,                0.70303,                0.82367,                0.53202,                 1.3441,                0.86607,                 1.9655,               0.004951,               0.004951,               0.004951
                     53,                0.59836,                0.43313,                 1.1024,                0.81038,                0.77778,                0.85151,                0.57039,                 1.2523,                0.79098,                 1.8427,               0.004852,               0.004852,               0.004852
                     54,                0.56703,                0.40435,                 1.0873,                0.89058,                0.75368,                0.85601,                0.62231,                 1.2066,                0.65924,                 1.7988,               0.004753,               0.004753,               0.004753
                     55,                0.55776,                0.40353,                  1.081,                0.81263,                0.77778,                0.82686,                0.58842,                 1.2619,                0.72641,                 1.9106,               0.004654,               0.004654,               0.004654
                     56,                0.56216,                0.40879,                 1.0798,                0.83313,                0.83211,                0.86199,                0.58767,                 1.2443,                0.69929,                 1.9181,               0.004555,               0.004555,               0.004555
                     57,                0.56411,                 0.4195,                 1.1071,                 0.8312,                0.87037,                0.89851,                0.59595,                 1.2234,                0.66396,                 1.9428,               0.004456,               0.004456,               0.004456
                     58,                0.55019,                  0.382,                 1.0744,                0.87828,                0.80184,                0.90517,                0.59794,                 1.2883,                0.67205,                 1.9848,               0.004357,               0.004357,               0.004357
                     59,                0.52729,                0.38466,                 1.0757,                0.87416,                0.77193,                0.88486,                0.57619,                 1.2755,                0.68521,                 1.9866,               0.004258,               0.004258,               0.004258
                     60,                 0.5431,                0.38828,                 1.0671,                0.86525,                0.83238,                0.92467,                0.59309,                 1.2558,                0.68952,                 1.9664,               0.004159,               0.004159,               0.004159
                     61,                0.53528,                0.38616,                  1.066,                0.94295,                 0.7037,                0.87399,                0.57687,                 1.2068,                0.80465,                 1.8812,                0.00406,                0.00406,                0.00406
                     62,                0.52453,                0.37283,                 1.0653,                 0.9045,                0.75926,                0.89289,                0.60418,                  1.226,                0.78871,                 1.8833,               0.003961,               0.003961,               0.003961
                     63,                0.50837,                0.36663,                  1.058,                0.89727,                0.80881,                 0.9069,                0.61444,                  1.246,                0.72458,                 1.9155,               0.003862,               0.003862,               0.003862
                     64,                0.49332,                0.34667,                 1.0396,                0.83111,                0.75926,                0.86613,                0.58049,                 1.2443,                0.68982,                 1.9438,               0.003763,               0.003763,               0.003763
                     65,                 0.5121,                0.36653,                 1.0623,                0.87286,                0.76284,                0.89116,                0.60946,                 1.2232,                0.66776,                 1.8978,               0.003664,               0.003664,               0.003664
                     66,                0.48848,                0.34558,                  1.043,                0.87946,                0.74074,                  0.859,                0.59553,                 1.2162,                0.67832,                 1.8696,               0.003565,               0.003565,               0.003565
                     67,                0.47944,                0.34778,                 1.0262,                0.88747,                0.85185,                0.91215,                0.64302,                 1.1694,                0.54311,                 1.8103,               0.003466,               0.003466,               0.003466
                     68,                0.49385,                0.34912,                  1.044,                0.85424,                0.88889,                0.90948,                0.63441,                 1.1681,                0.51771,                 1.8253,               0.003367,               0.003367,               0.003367
                     69,                0.46304,                0.32687,                 1.0351,                0.90105,                0.85185,                0.93223,                0.63879,                 1.1818,                0.55919,                 1.8487,               0.003268,               0.003268,               0.003268
                     70,                0.47916,                0.34289,                 1.0343,                0.93139,                0.75431,                0.88442,                0.59681,                 1.2402,                0.60091,                 1.9195,               0.003169,               0.003169,               0.003169
                     71,                0.45842,                 0.3299,                 1.0217,                0.93961,                0.74074,                0.89278,                0.60995,                 1.2122,                0.64735,                 1.8918,                0.00307,                0.00307,                0.00307
                     72,                0.45427,                0.32353,                 1.0207,                0.89742,                0.81481,                0.91766,                0.62109,                 1.1842,                0.63204,                 1.8706,               0.002971,               0.002971,               0.002971
                     73,                0.44578,                0.32871,                 1.0187,                0.92998,                0.73792,                0.91603,                0.61754,                  1.186,                0.69918,                 1.8878,               0.002872,               0.002872,               0.002872
                     74,                0.46078,                 0.3234,                 1.0216,                0.93176,                0.75926,                0.89877,                0.60712,                 1.1746,                0.69615,                 1.8443,               0.002773,               0.002773,               0.002773
